Way 1: 
66:{'tag': '0000000001001101001100', 'val': 1, 'data': 0}
67:{'tag': '0001000000000001110011', 'val': 1, 'data': 0}
68:{'tag': '0000000001001101110100', 'val': 1, 'data': 0}
69:{'tag': '0001000000000001110011', 'val': 1, 'data': 0}
70:{'tag': '0000000001001101101010', 'val': 1, 'data': 0}
71:{'tag': '0001000000000001110111', 'val': 1, 'data': 0}
72:{'tag': '0000000001001101101010', 'val': 1, 'data': 0}
73:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
74:{'tag': '0000000001001110010011', 'val': 1, 'data': 0}
75:{'tag': '0001000000000001110111', 'val': 1, 'data': 0}
76:{'tag': '0000000001001110010011', 'val': 1, 'data': 0}
77:{'tag': '0001000000000001110011', 'val': 1, 'data': 0}
78:{'tag': '0000000001001101101010', 'val': 1, 'data': 0}
79:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
80:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
81:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
82:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
83:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
84:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
85:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
86:{'tag': '0000000001001101101001', 'val': 1, 'data': 0}
87:{'tag': '0001000000000001110111', 'val': 1, 'data': 0}
88:{'tag': '0000000001001101101001', 'val': 1, 'data': 0}
89:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
90:{'tag': '0000000001001101101001', 'val': 1, 'data': 0}
91:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
92:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
93:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
94:{'tag': '0000000001001110110010', 'val': 1, 'data': 0}
95:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
96:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
97:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
98:{'tag': '0000000001001110110010', 'val': 1, 'data': 0}
99:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
100:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
101:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
102:{'tag': '0000000001001101011011', 'val': 1, 'data': 0}
103:{'tag': '0001000000000010010000', 'val': 1, 'data': 0}
104:{'tag': '0000000001001110010011', 'val': 1, 'data': 0}
105:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
106:{'tag': '0000000001001110010011', 'val': 1, 'data': 0}
107:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
108:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
109:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
110:{'tag': '0000000001001101001011', 'val': 1, 'data': 0}
111:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
112:{'tag': '0000000001001101001011', 'val': 1, 'data': 0}
113:{'tag': '0001000000000000000100', 'val': 1, 'data': 0}
114:{'tag': '0000000001001110110010', 'val': 1, 'data': 0}
115:{'tag': '0001000000000010010000', 'val': 1, 'data': 0}
116:{'tag': '0000000001001101001010', 'val': 1, 'data': 0}
117:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
118:{'tag': '0000000001001101001010', 'val': 1, 'data': 0}
119:{'tag': '0001000000000000000100', 'val': 1, 'data': 0}
120:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
121:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
122:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
123:{'tag': '0001000000000000000100', 'val': 1, 'data': 0}
124:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
125:{'tag': '0001000000000000000100', 'val': 1, 'data': 0}
126:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
127:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
128:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
129:{'tag': '0001000000000000000100', 'val': 1, 'data': 0}
130:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
131:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
132:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
133:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
134:{'tag': '0000000001001101001111', 'val': 1, 'data': 0}
135:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
136:{'tag': '0000000001001101001111', 'val': 1, 'data': 0}
137:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
138:{'tag': '0000000001001101101001', 'val': 1, 'data': 0}
139:{'tag': '0001000000000001110011', 'val': 1, 'data': 0}
140:{'tag': '0000000001001101001100', 'val': 1, 'data': 0}
141:{'tag': '0001000000000000000100', 'val': 1, 'data': 0}
142:{'tag': '0000000001001101001100', 'val': 1, 'data': 0}
143:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
144:{'tag': '0000000001001101101001', 'val': 1, 'data': 0}
145:{'tag': '0001000000000000000100', 'val': 1, 'data': 0}
146:{'tag': '0000000001001101001010', 'val': 1, 'data': 0}
147:{'tag': '0001000000000010010000', 'val': 1, 'data': 0}
148:{'tag': '0000000001001101001100', 'val': 1, 'data': 0}
149:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
150:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
151:{'tag': '0001000000000001110011', 'val': 1, 'data': 0}
152:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
153:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
154:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
155:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
156:{'tag': '0000000001001101001111', 'val': 1, 'data': 0}
157:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
158:{'tag': '0000000001001101001010', 'val': 1, 'data': 0}
159:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
160:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
161:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
162:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
163:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
164:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
165:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
166:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
167:{'tag': '0001000000000001110110', 'val': 1, 'data': 0}
168:{'tag': '0000000001001101010100', 'val': 1, 'data': 0}
169:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
170:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
171:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
172:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
173:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
174:{'tag': '0000000001001101001111', 'val': 1, 'data': 0}
175:{'tag': '0111111111111111011101', 'val': 1, 'data': 0}
176:{'tag': '0000000001001101001111', 'val': 1, 'data': 0}
177:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
178:{'tag': '0000000001001101001111', 'val': 1, 'data': 0}
179:{'tag': '0001000000000001101011', 'val': 1, 'data': 0}
